AGN AGNC AGO ALK APOL BAH BCR BR BRCD CCK CPN AAL ALLE ALTR AMCX AMH AMT ARCP AWAY BMRN CAB
AGN 0.00111109052861 0.000136092187435 0.000100322496992 0.000289289536003 0.000417568342202 0.000112818490178 0.000180284059099 0.000112892880429 2.58690717725e-05 0.000139367727684 0.000103787303483 3.56900724385e-05 0.000147592474454 0.000128707987243 0.000121224243902 0.000197713453338 0.000124653212059 0.000145913609982 0.00023237771899 0.000154877675317 0.000122300048992
AGNC 0.000136092187435 0.000245005799338 4.69094953533e-05 0.000160242708619 0.000127847331906 5.05901184951e-05 9.69715746371e-05 8.71734843492e-05 3.20244083619e-05 7.5169709148e-05 7.98851257996e-05 1.7482269109e-05 8.96508566804e-05 6.5470707101e-05 7.3842726686e-05 0.000119336296731 7.91182072839e-05 0.000104109732097 0.000120708768331 7.53111767642e-05 8.01054250416e-05
AGO 0.000100322496992 4.69094953533e-05 0.000192557188662 8.34766608476e-05 7.77977767956e-05 1.27796504865e-05 5.32379996533e-05 4.79912783263e-05 1.79159043424e-05 5.86279686604e-05 3.95849527147e-05 5.79851501979e-05 3.78273536733e-05 4.03697503639e-05 3.82607794194e-05 4.7766176427e-05 3.83737929251e-05 5.76006827586e-05 7.95842513999e-05 5.13860626487e-05 4.74161752478e-05
ALK 0.000289289536003 0.000160242708619 8.34766608476e-05 0.000796418460543 0.000236141934501 4.10213948638e-05 0.000198529817242 0.000137934365076 3.01810458293e-05 0.000129546506145 0.000123003749451 2.07840513679e-05 0.000163704141559 0.000128254148621 0.00011555489991 0.000178858020007 0.000151991959247 0.00022564631327 0.000241751461899 0.00014698591265 0.000142355408096
APOL 0.000417568342202 0.000127847331906 7.77977767956e-05 0.000236141934501 0.000452743231078 7.70936663601e-05 0.00017194648477 0.000119990683986 2.60309511006e-05 0.000116422700392 0.000116722234605 2.4751261671e-05 0.000129663964126 0.000101176317602 9.629045344e-05 0.000165970432899 0.000116446770509 0.000157907431885 0.000193712566661 0.000114372709868 0.000111319046578
BAH 0.000112818490178 5.05901184951e-05 1.27796504865e-05 4.10213948638e-05 7.70936663601e-05 0.0002098819009 6.76238596518e-05 7.81678093807e-05 2.81752456698e-05 4.09016014363e-05 8.32800274797e-05 3.60115168052e-05 8.76144389716e-05 5.60542201235e-05 4.42119397492e-05 7.80899900827e-05 4.99384335759e-05 2.54033769569e-05 7.19211101017e-05 4.40230478269e-05 1.66570250248e-05
BCR 0.000180284059099 9.69715746371e-05 5.32379996533e-05 0.000198529817242 0.00017194648477 6.76238596518e-05 0.000393039347498 0.000105990388139 2.73744741743e-05 0.000108566826006 9.97655447047e-05 1.48328591736e-05 0.000115692734726 8.15917325533e-05 8.49918154655e-05 0.000151754591609 0.00011417313041 0.000185149150799 0.000194574849081 0.000106146102422 9.36571780215e-05
BR 0.000112892880429 8.71734843492e-05 4.79912783263e-05 0.000137934365076 0.000119990683986 7.81678093807e-05 0.000105990388139 0.000377731398171 1.60372616677e-05 7.11573788835e-05 8.5758274643e-05 1.69791825598e-05 7.12421752209e-05 9.182329224e-05 7.69071519286e-05 0.000115575778017 8.89316914701e-05 0.000125778530641 0.000131211444651 8.46501421315e-05 8.03969012436e-05
BRCD 2.58690717725e-05 3.20244083619e-05 1.79159043424e-05 3.01810458293e-05 2.60309511006e-05 2.81752456698e-05 2.73744741743e-05 1.60372616677e-05 9.36866289744e-05 1.90980358512e-05 2.27542311578e-05 2.36717802775e-05 1.48469272435e-05 1.78726495752e-05 2.27085353636e-05 4.44002208718e-05 2.85145973004e-05 1.91024970011e-05 2.74104180808e-05 1.3215112999e-05 2.59636944529e-05
CCK 0.000139367727684 7.5169709148e-05 5.86279686604e-05 0.000129546506145 0.000116422700392 4.09016014363e-05 0.000108566826006 7.11573788835e-05 1.90980358512e-05 0.000187144133965 7.02849739124e-05 3.16677989811e-05 8.31236323835e-05 5.92036442054e-05 6.54512551085e-05 0.000101493450627 6.55323636401e-05 0.000100627030634 0.000119798104023 7.66064940529e-05 7.70243809721e-05
CPN 0.000103787303483 7.98851257996e-05 3.95849527147e-05 0.000123003749451 0.000116722234605 8.32800274797e-05 9.97655447047e-05 8.5758274643e-05 2.27542311578e-05 7.02849739124e-05 0.000686490130559 1.32552309537e-05 0.000117659952545 5.75570888802e-05 9.61542647246e-05 0.000107262931686 8.88936937051e-05 0.000133213967163 0.000117591321866 6.24148139644e-05 6.58694195844e-05
AAL 3.56900724385e-05 1.7482269109e-05 5.79851501979e-05 2.07840513679e-05 2.4751261671e-05 3.60115168052e-05 1.48328591736e-05 1.69791825598e-05 2.36717802775e-05 3.16677989811e-05 1.32552309537e-05 0.000258277818696 1.35660494556e-05 9.63665116517e-06 1.03465580526e-05 4.87080737364e-05 1.93312205516e-06 -2.30625587851e-06 6.23817929484e-06 8.91242881566e-06 2.32415218266e-05
ALLE 0.000147592474454 8.96508566804e-05 3.78273536733e-05 0.000163704141559 0.000129663964126 8.76144389716e-05 0.000115692734726 7.12421752209e-05 1.48469272435e-05 8.31236323835e-05 0.000117659952545 1.35660494556e-05 0.000682037073947 7.44438197914e-05 6.74131714552e-05 0.000117268891009 8.88079776937e-05 0.000147510053635 0.000153486465586 6.51440368967e-05 6.79364358652e-05
