tickers returns ubounds lbounds
AGN 0.000493098658091 0.2 -0.2
AGNC 0.000694646152629 0.2 -0.2
AGO 0.00128519193435 0.2 -0.2
ALK 0.00130441516107 0.2 -0.2
APOL -0.00039883356974000005 0.2 -0.2
BAH 0.000738092059202 0.2 -0.2
BCR 0.000802480928579 0.2 -0.2
BR 0.0010276714258500002 0.2 -0.2
BRCD 0.000671944333399 0.2 -0.2
CCK 0.0010276714258500002 0.2 -0.2
CPN 0.000671944333399 0.2 -0.2
AAL 0.000393955424011 0.2 -0.2
ALLE 0.000996192442245 0.2 -0.2
ALTR 0.00140957572515 0.2 -0.2
AMCX 0.000653700775682 0.2 -0.2
AMH 0.0014667923583599998 0.2 -0.2
AMT 0.0006179428640260001 0.2 -0.2
ARCP 0.0021869195600799996 0.2 -0.2
AWAY 0.0006179428640260001 0.2 -0.2
BMRN 0.000251129249681 0.2 -0.2
CAB 0.00173903633697 0.2 -0.2
